Produção Médica  Hospital São Cristóvão (Benner Saúde)
Médico;Procedimento;Data;Quantidade;Valor Apresentado;Glosa;Valor Pago
Dra. João Câmara;Endoscopia;26/03/2025;6;6.683,28;1.191,14;5.492,14
Dr. Inês Assunção;Tomografia;01/03/2025;8;11.915,92;585,85;11.330,07
Dr. Tâmara Façanha;Ressonância;25/03/2025;7;2.535,33;289,11;2.246,22
Dr. Verônica Assunção;Avaliação Pré-Anestésica;07/03/2025;8;7.283,28;563,85;6.719,43
Dra. Sérgio Magalhães;Endoscopia;08/03/2025;3;4.119,06;164,76;3.954,30
Dra. Fábio Gonçalves;Avaliação Pré-Anestésica;05/03/2025;7;691,39;85,60;605,79
Dra. Conceição Câmara;Endoscopia;09/03/2025;3;1.444,44;106,60;1.337,84
Dr. Letícia Façanha;Consulta;01/03/2025;6;3.558,96;231,15;3.327,81
Dr. Cláudia Façanha;Avaliação Pré-Anestésica;04/03/2025;8;9.884,16;1.713,26;8.170,90
Dr. Mônica Câmara;Tomografia;03/03/2025;2;382,50;0,06;382,44
Dr. Verônica Câmara;Ressonância;11/03/2025;7;7.730,52;382,93;7.347,59
Dr. Antônio Façanha;Ressonância;10/03/2025;7;6.414,66;888,99;5.525,67
Dra. Otávio Assunção;Cirurgia;22/03/2025;5;7.580,95;1.261,97;6.318,98
Dra. Fábio Câmara;Endoscopia;23/03/2025;2;3.025,96;521,40;2.504,56
Dr. Letícia Brandão;Consulta;24/03/2025;7;3.693,90;209,15;3.484,75
Dra. Vinícius Brandão;Consulta;05/03/2025;3;309,33;41,58;267,75
Dr. Antônio Assunção;Ressonância;20/03/2025;2;1.260,00;78,89;1.181,11
Dra. Conceição Gonçalves;Ressonância;04/03/2025;6;647,82;95,70;552,12
Dra. Vinícius Magalhães;Ultrassonografia;19/03/2025;8;11.334,00;751,86;10.582,14
Dra. João Assunção;Ultrassonografia;16/03/2025;1;1.424,01;76,53;1.347,48
Dr. Verônica Brandão;Consulta;18/03/2025;8;7.305,28;626,86;6.678,42
Dr. Letícia Brandão;Cirurgia;21/03/2025;5;4.945,30;425,18;4.520,12
Dra. Gonçalo Gonçalves;Ressonância;09/03/2025;2;1.025,80;157,49;868,31
Dra. Sérgio Assunção;Endoscopia;08/03/2025;6;6.947,04;377,63;6.569,41
Dr. Verônica Câmara;Cirurgia;22/03/2025;6;5.135,34;876,49;4.258,85
Dra. Conceição Câmara;Cirurgia;28/03/2025;7;10.992,45;250,78;10.741,67
Dr. Inês Brandão;Consulta;17/03/2025;7;9.830,59;1.763,83;8.066,76
Dra. João Câmara;Cirurgia;24/03/2025;6;5.383,26;777,20;4.606,06
Dr. Verônica Assunção;Ultrassonografia;23/03/2025;5;7.607,95;23,33;7.584,62
Dr. Cláudia Brandão;Consulta;21/03/2025;4;1.474,92;82,36;1.392,56
Dra. Fábio Façanha;Endoscopia;09/03/2025;5;5.776,30;115,79;5.660,51
Dr. Mônica Brandão;Ultrassonografia;15/03/2025;5;6.703,25;637,05;6.066,20
Dr. Antônio Assunção;Consulta;25/03/2025;2;454,14;47,34;406,80
Dr. Antônio Câmara;Ressonância;08/03/2025;4;5.242,04;738,01;4.504,03
Dr. Inês Brandão;Tomografia;22/03/2025;7;10.370,99;1.232,44;9.138,55
Dra. Otávio Câmara;Cirurgia;05/03/2025;3;2.132,55;383,27;1.749,28
Dra. Gonçalo Brandão;Avaliação Pré-Anestésica;03/03/2025;8;6.941,92;64,30;6.877,62
Dr. Verônica Magalhães;Consulta;07/03/2025;3;2.486,88;431,03;2.055,85
Dr. Antônio Magalhães;Ressonância;11/03/2025;4;1.406,80;1,87;1.404,93
Dr. Cláudia Brandão;Consulta;24/03/2025;6;8.476,38;815,43;7.660,95
Dr. Cláudia Assunção;Consulta;09/03/2025;3;2.229,60;232,60;1.997,00
Dr. Mônica Gonçalves;Ultrassonografia;08/03/2025;1;1.228,42;192,36;1.036,06
Dra. Régis Assunção;Cirurgia;27/03/2025;1;1.028,98;127,00;901,98
Dr. Verônica Façanha;Ultrassonografia;20/03/2025;2;738,20;52,89;685,31
Dra. Conceição Assunção;Avaliação Pré-Anestésica;19/03/2025;5;6.849,20;631,55;6.217,65
Dr. Inês Brandão;Endoscopia;07/03/2025;2;399,44;60,66;338,78
Dra. Sérgio Magalhães;Endoscopia;10/03/2025;2;3.142,28;306,09;2.836,19
Dr. Letícia Assunção;Ultrassonografia;09/03/2025;1;1.327,77;185,39;1.142,38
Dr. Tâmara Brandão;Ressonância;11/03/2025;5;4.577,95;255,14;4.322,81
Dr. Verônica Câmara;Endoscopia;22/03/2025;4;1.075,40;128,30;947,10
Dra. Vinícius Façanha;Cirurgia;14/03/2025;2;2.322,40;309,10;2.013,30
Dr. Letícia Façanha;Ultrassonografia;21/03/2025;4;2.245,48;63,55;2.181,93
Dr. Antônio Gonçalves;Raio-X;14/03/2025;6;4.586,58;452,60;4.133,98
Dra. Gonçalo Câmara;Consulta;26/03/2025;4;2.844,36;405,15;2.439,21
Dra. Fábio Câmara;Cirurgia;18/03/2025;7;6.967,94;1.001,54;5.966,40
Dra. João Gonçalves;Tomografia;27/03/2025;1;1.475,71;143,24;1.332,47
Dr. Cláudia Assunção;Cirurgia;19/03/2025;2;3.108,72;124,59;2.984,13
Dr. Verônica Brandão;Raio-X;18/03/2025;5;6.180,90;311,42;5.869,48
Dr. Cláudia Câmara;Cirurgia;16/03/2025;7;6.850,06;1.128,10;5.721,96
Dra. Gonçalo Brandão;Ultrassonografia;12/03/2025;1;551,47;25,17;526,30
